<<<<<<< HEAD
Name,Score
judge,8
guh,7
final,6
v,3
g,1
g,1
try,0
buh,0
bruh,0
nope,0
l,0
v,0
b,0
l,0
l,0
',0
[,0
p,0
l,0
k,0
k,0
g,0
',0
g,0
=======
Name, Score
Paul, 9
Pauul, 2
Paullll, 3
C3P0, 4
luke skywalker, 2
darth vader, 1
null, 0
null, 0
null, 0
null, 0
Paul, 13
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
null, 0
yoda, 2
joey, 6
null, 0
null, 6
null, 0
troy, 8
null, 0
luigi, 0
donkey kong, 0
donkey kong, 0
donkey kong, 0
diddy kong, 0
diddy kong, 0
diddy kong, 0
diddy kong, 0
diddy kong, 0
diddy kong, 0
troy, 0
paulllllllllllllllllllllllllllllll, 3
paulllll , 2
funky kong, 0
funky kong, 0
funky kong, 0
funky kong, 0
funky kong, 0
funky kong, 0
paul, 0
paul, 0
funky kong, 0
funky kong, 2
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 1
G, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 0
Paul, 0
Grace, 2
Grace, 0
Grace, 5
grace, 0
g, 0
buh, 0
g, 0
g, 0
g, 0
g, 0
buh, 4
g, 4
g, 1
paul, 3
paul, 1
paul, 10
paul, 0
paul, 0
paul, 0
paul, 2
paul, 10
>>>>>>> branch 'main' of https://github.com/paulm130/Alien-Invasion.git
